Year,District,SUGARCANE YIELD (Kg per ha),Apr_ET Mean,Apr_EVI Mean,Apr_Fpar Mean,Apr_Gpp Mean,Apr_Lai Mean,Apr_NDVI Mean,Aug_ET Mean,Aug_EVI Mean,Aug_Fpar Mean,Aug_Gpp Mean,Aug_Lai Mean,Aug_NDVI Mean,Dec_ET Mean,Dec_EVI Mean,Dec_Fpar Mean,Dec_Gpp Mean,Dec_Lai Mean,Dec_NDVI Mean,Feb_ET Mean,Feb_EVI Mean,Feb_Fpar Mean,Feb_Gpp Mean,Feb_Lai Mean,Feb_NDVI Mean,Jan_ET Mean,Jan_EVI Mean,Jan_Fpar Mean,Jan_Gpp Mean,Jan_Lai Mean,Jan_NDVI Mean,Jul_ET Mean,Jul_EVI Mean,Jul_Fpar Mean,Jul_Gpp Mean,Jul_Lai Mean,Jul_NDVI Mean,Jun_ET Mean,Jun_EVI Mean,Jun_Fpar Mean,Jun_Gpp Mean,Jun_Lai Mean,Jun_NDVI Mean,Mar_ET Mean,Mar_EVI Mean,Mar_Fpar Mean,Mar_Gpp Mean,Mar_Lai Mean,Mar_NDVI Mean,May_ET Mean,May_EVI Mean,May_Fpar Mean,May_Gpp Mean,May_Lai Mean,May_NDVI Mean,Nov_ET Mean,Nov_EVI Mean,Nov_Fpar Mean,Nov_Gpp Mean,Nov_Lai Mean,Nov_NDVI Mean,Oct_ET Mean,Oct_EVI Mean,Oct_Fpar Mean,Oct_Gpp Mean,Oct_Lai Mean,Oct_NDVI Mean,Sep_ET Mean,Sep_EVI Mean,Sep_Fpar Mean,Sep_Gpp Mean,Sep_Lai Mean,Sep_NDVI Mean
2001,SAHARANPUR,5668.64,1.997971133,0.2330508,0.3023411,0.0051272,0.665530567,0.38526925,14.23987728,0.44853445,0.59048795,0.0149993,1.87260905,0.6463539,2.3064228,0.2268141,0.34734525,0.0097791,0.500834825,0.45011805,7.597586075,0.319377,0.47105655,0.0183599,1.013943325,0.540994,4.4544931,0.27489475,0.386362575,0.01586715,0.5992471,0.49464295,14.67509913,0.4086542,0.4384683,0.0182666,1.271580275,0.5764324,1.784371225,0.37697315,0.36276565,0.00161615,0.8894419,0.5563761,6.671986925,0.31556305,0.432350275,0.011954625,0.995164925,0.5036337,0.26522645,0.22101335,0.27011985,0.0003792,0.608261975,0.34358955,3.127087775,0.2412319,0.363875375,0.009285625,0.634276375,0.45578615,3.080221067,0.2975157,0.439864933,0.004813533,0.935210833,0.5064995,5.0488577,0.3873891,0.55367505,0.00525195,1.5194422,0.5922774
2002,SAHARANPUR,5918.86,0.400915767,0.2077564,0.283138667,0.000741067,0.6044715,0.3541162,11.55132048,0.4495783,0.513184375,0.01399375,1.561454675,0.66919815,2.676508725,0.2525925,0.369322675,0.010162075,0.5451003,0.4645334,9.28007645,0.36117795,0.520363975,0.021234025,1.1627263,0.5830613,4.63247455,0.2669773,0.394334025,0.015195875,0.6219783,0.51037655,0.25790275,0.37954625,0.429525825,0.000110725,1.12287775,0.5331327,0.797012725,0.33240775,0.38298065,0.0006398,0.994506875,0.49412715,5.927948475,0.3314663,0.455852067,0.009990425,1.024568467,0.53051115,0.064311175,0.23594765,0.287828475,4.25e-06,0.648964025,0.3762327,4.43619175,0.2799497,0.423220725,0.011206375,0.806444325,0.50793735,7.760267833,0.3314215,0.549400367,0.0113728,1.402262567,0.5511972,13.57184465,0.4104251,0.62442795,0.015696325,1.9530404,0.6447381
2003,SAHARANPUR,6150.42,0.758908467,0.23718475,0.3208531,0.001455633,0.701641833,0.4028112,28.67968078,0.51732155,0.520118275,0.04268255,1.73622335,0.7069513,2.309654625,0.1940537,0.230272575,0.009185625,0.329421325,0.3598532,9.0493061,0.36987245,0.520902625,0.022832725,1.1493448,0.5939938,4.21078675,0.2698886,0.2496931,0.01327355,0.369361725,0.47732745,21.086235,0.48587795,0.465456775,0.030387025,1.377524575,0.66578505,1.287280925,0.3038769,0.332458475,0.001316925,0.8032272,0.45218305,8.166726025,0.33697235,0.45493305,0.0168925,1.048076025,0.54464055,0.152455325,0.22047835,0.27259615,0.00023725,0.592511075,0.34519695,3.81470605,0.2555475,0.389863375,0.011421225,0.71801255,0.4735788,7.6137808,0.3408151,0.5113836,0.0125584,1.2353047,0.5567969,19.5890969,0.45499885,0.631206375,0.026935525,1.96407985,0.66067245
2004,SAHARANPUR,6310.76,0.941552225,0.21483535,0.279786775,0.00230935,0.6013663,0.34542745,20.37844233,0.46108095,0.48743465,0.02956485,1.4209758,0.652084,3.31822165,0.2584968,0.3996151,0.011775,0.604700875,0.4818053,10.36755218,0.35897105,0.55010315,0.023793575,1.2799049,0.61079395,4.76923595,0.2866992,0.378661275,0.013908925,0.62169845,0.5227889,5.55227575,0.39357275,0.39141745,0.0068086,1.020123875,0.56455625,1.800155175,0.33410845,0.383506275,0.0019644,0.962819675,0.491361,4.833013925,0.2973485,0.434698725,0.00808145,0.980111775,0.48961775,0.227910267,0.23961055,0.287681567,0.0001995,0.6582323,0.37554275,3.9803632,0.2436463,0.3683225,0.0122499,0.645995433,0.4415753,8.1276421,0.30511525,0.4900119,0.017988775,1.134092875,0.5092412,14.12408625,0.4143239,0.588008025,0.017242725,1.7149977,0.629413
2005,SAHARANPUR,6125.03,1.287443233,0.220502,0.282345267,0.003338267,0.597454167,0.35370255,13.53188038,0.48313795,0.531718425,0.0139069,1.5673108,0.6642296,2.3833113,0.2201165,0.3529234,0.011033725,0.50774955,0.4257482,10.80615625,0.3985863,0.5730461,0.023966375,1.4139561,0.63584245,6.387969075,0.31658315,0.4775359,0.018687025,0.868049275,0.5794023,18.09506638,0.41096335,0.39186615,0.024341675,1.083703525,0.5852295,1.435281025,0.3002585,0.332751425,0.00179075,0.775761475,0.44401735,10.40689185,0.34833795,0.509766675,0.0198799,1.23320355,0.55181285,0.60866905,0.23373845,0.276005,0.001281,0.605771225,0.35381375,4.72896675,0.27127635,0.4099799,0.0147405,0.763856975,0.4848189,10.78871137,0.3497373,0.554619067,0.0219652,1.362709033,0.5611597,19.46687403,0.4226993,0.635414625,0.02952155,1.95033475,0.6623415
2006,SAHARANPUR,6253.08,1.084540867,0.21652265,0.288476133,0.002480033,0.616928167,0.3708796,25.30531603,0.51492545,0.607659325,0.037117575,2.040369825,0.7002387,3.799010325,0.2688276,0.427775225,0.013602025,0.66051535,0.49999165,7.33942115,0.32303515,0.47498275,0.01385665,1.01207115,0.5516179,4.29597385,0.2734802,0.418118925,0.01409705,0.634914675,0.5029059,19.87439245,0.4726037,0.4863367,0.025819475,1.4607853,0.67352625,4.528777675,0.34255335,0.420666925,0.005993175,1.105282725,0.52490135,7.796100275,0.33823515,0.453475675,0.016295525,1.021353675,0.5439314,0.13507325,0.2734576,0.290541925,9.64e-05,0.65711595,0.4072362,6.03172075,0.2905369,0.46391845,0.0157775,0.917836625,0.51826075,10.01283347,0.3465167,0.549132633,0.017173433,1.342624,0.5606377,18.58643638,0.42807575,0.5993805,0.026166025,1.83378685,0.6487807
2007,SAHARANPUR,6279.99,1.261871067,0.24254655,0.318161233,0.0025785,0.703096833,0.40826595,20.0676185,0.4789101,0.569213025,0.0256704,1.8255286,0.6500641,2.5577018,0.22744065,0.356831375,0.01043655,0.51613905,0.4472904,9.2635148,0.36576635,0.51158445,0.0225454,1.10981615,0.5868827,4.4456478,0.2772393,0.450476575,0.01543525,0.7118687,0.511817,13.84019245,0.49153365,0.413724925,0.014752675,1.1228311,0.6584426,3.24802355,0.3626213,0.365575825,0.00372675,0.91540075,0.52130045,9.70430335,0.35594325,0.484979025,0.021593175,1.11657425,0.5614719,0.3193723,0.24683725,0.308453025,0.0003865,0.714401025,0.38504625,3.93604425,0.2638341,0.399721775,0.0111789,0.699820475,0.488682,6.044527433,0.328355,0.509011433,0.009286533,1.203140867,0.5552783,14.05215313,0.4239988,0.610333225,0.016372175,1.766072975,0.6522828
2008,SAHARANPUR,5371.26,1.3922666,0.2292794,0.29940765,0.002843525,0.648358225,0.37790975,22.62342285,0.44568825,0.503947575,0.0333806,1.506877325,0.6493196,2.349808975,0.2610977,0.3597308,0.010236975,0.5219003,0.47063785,5.2969894,0.2830314,0.390189875,0.014589925,0.759823325,0.49068465,3.049187025,0.2400409,0.37007915,0.011432275,0.5405329,0.47690385,14.92142488,0.3866257,0.425313275,0.019603775,1.22241455,0.56324545,5.06220195,0.3588623,0.367028,0.006667075,0.9513473,0.54521305,4.51602415,0.27723405,0.402748925,0.007946125,0.85579,0.46815105,1.326331533,0.23075895,0.265647033,0.002795767,0.593501867,0.3666173,3.7238188,0.2472659,0.373123833,0.012583133,0.634853967,0.4689534,6.86437805,0.28403425,0.4575698,0.014531125,1.01053865,0.48663735,16.52184285,0.38561335,0.552457175,0.0260004,1.5853203,0.588001
2009,SAHARANPUR,5910.78,1.276825433,0.2215947,0.2857445,0.0032813,0.607055433,0.3509388,17.08178892,0.51619925,0.56758505,0.02340955,1.827733425,0.7162158,2.205967425,0.2265724,0.329965425,0.0104282,0.463656425,0.42201,10.7940857,0.3918322,0.57550045,0.020371675,1.37205835,0.62542595,5.777964325,0.3333614,0.46969015,0.01698445,0.801361675,0.56861025,8.1298285,0.4226567,0.452335125,0.009693075,1.215702375,0.60688125,0.377573675,0.2610864,0.302577425,0.000445475,0.684251625,0.37888255,6.37625235,0.29291355,0.419741875,0.011324225,0.9448578,0.4950201,0.076470675,0.219733,0.257254825,0.00010095,0.575020125,0.3425229,4.262614175,0.2605497,0.386370875,0.0130347,0.703126975,0.458933,9.141364567,0.3532097,0.515817867,0.016741133,1.237981433,0.5553019,21.32782358,0.44131215,0.65077765,0.0323053,2.121732275,0.6571019
2010,SAHARANPUR,6068.15,0.038501733,0.2026867,0.266452,3.11e-05,0.554474267,0.3277414,24.666074,0.453225,0.39036235,0.0320751,1.135087875,0.62764955,3.8448153,0.2359532,0.349160425,0.013192875,0.509257775,0.438329,10.35361925,0.3705691,0.543377825,0.021688275,1.233472175,0.5860274,4.698260775,0.30566915,0.360771675,0.015281875,0.598065425,0.52833595,15.16293013,0.4206479,0.468069475,0.0201347,1.361796975,0.60912725,0.290515275,0.29465175,0.33039365,0.00026355,0.766072575,0.4529169,4.7656819,0.3248258,0.44893275,0.007097875,1.0456239,0.52586295,0.082933575,0.23779715,0.2763907,5.43e-05,0.6067013,0.35794965,6.088032125,0.2637434,0.420683625,0.018305275,0.777825,0.474733,11.55471553,0.3438704,0.5042745,0.026795767,1.155638533,0.5846295,22.46898375,0.4091457,0.58003635,0.03736085,1.76951655,0.6383671
2011,SAHARANPUR,5819.35,3.2403535,0.2348254,0.327369067,0.007084767,0.714898233,0.3848301,25.50731458,0.4358439,0.501978925,0.033131825,1.54319095,0.64921365,2.459602475,0.23439665,0.351361075,0.0116424,0.51088355,0.43911665,10.44359165,0.40638385,0.561707225,0.026042775,1.3207919,0.62529385,4.9858735,0.26463175,0.38290615,0.0160691,0.59912535,0.48087175,19.9431091,0.40980255,0.4094689,0.0260738,1.17042855,0.6033218,6.09426095,0.37760435,0.436966575,0.00735395,1.155822375,0.53599235,10.25872925,0.3271338,0.494635775,0.020311775,1.1789079,0.5208182,0.2914905,0.2789624,0.308869275,0.00032195,0.725070375,0.44910445,4.593613175,0.2615089,0.41031325,0.01514805,0.7761303,0.47082955,9.5800157,0.3064655,0.504314933,0.021333233,1.153859533,0.5248492,23.10613115,0.41017125,0.5826778,0.03913405,1.73868415,0.62906985
2012,SAHARANPUR,6167.4,2.309114125,0.2340363,0.313707425,0.004967175,0.68226575,0.40682405,23.27251823,0.4437698,0.4346507,0.031675925,1.352588025,0.61930975,2.96135175,0.25060045,0.3736138,0.011350775,0.557023025,0.47456215,8.22743725,0.3385702,0.502770575,0.02227255,1.0973933,0.56982975,5.669166125,0.2766714,0.388664175,0.01613235,0.61216035,0.5318372,14.4299075,0.41122695,0.388178875,0.01837785,1.0716278,0.60809835,0.103686725,0.2532211,0.324084425,2.69e-05,0.756452875,0.38252325,6.2609611,0.3082035,0.424357875,0.013673775,0.95928935,0.48712755,0.045623433,0.2103624,0.251472367,2.27e-05,0.556410267,0.35051235,4.584088767,0.2662079,0.416897233,0.0149429,0.738846467,0.4919467,9.307103475,0.321465,0.517177425,0.019790175,1.2474378,0.54711895,23.21492358,0.43440845,0.602638875,0.036288625,1.845590875,0.65982015
2013,SAHARANPUR,5994.39,2.921364967,0.26015785,0.359111467,0.0054535,0.803289867,0.4329206,18.49751395,0.4690753,0.5272682,0.022423775,1.673734725,0.68945115,3.32120555,0.2740304,0.42358015,0.0121246,0.658223675,0.50212665,10.7437554,0.3872214,0.5527568,0.0247977,1.2828948,0.61913225,5.033701975,0.2742046,0.35730225,0.0157081,0.5852272,0.49548945,14.10586835,0.4234481,0.431530975,0.01615305,1.299412575,0.647074,4.71063365,0.3340152,0.3904517,0.006153625,0.9948613,0.4977843,9.943113375,0.34349815,0.501444525,0.019199025,1.161933425,0.57793655,0.270047975,0.25077475,0.32086045,0.000352425,0.741558,0.3912553,5.1327914,0.2719194,0.443526875,0.0140094,0.80790055,0.5040773,10.1900442,0.3550856,0.561162933,0.015065467,1.412703733,0.5967655,15.26510313,0.42488325,0.618059975,0.017511025,1.858930325,0.6573118
2014,SAHARANPUR,6339.7,4.110308133,0.2779706,0.3816779,0.007559167,0.883682833,0.45483275,9.016595325,0.4629575,0.5702453,0.0095828,1.7791219,0.6807583,3.000091925,0.2713144,0.3997231,0.010899675,0.61063075,0.49280675,9.660863425,0.38584425,0.549274725,0.02550875,1.27914345,0.63037285,5.077026475,0.30362795,0.435968425,0.016071175,0.7463578,0.56361085,6.540226625,0.38351475,0.383101475,0.0068064,1.049978475,0.61100905,0.34917705,0.310156,0.35367195,0.00026735,0.856679775,0.4436477,11.54662493,0.35429345,0.5295469,0.022892,1.29888695,0.59264735,0.780092775,0.2584241,0.3362307,0.001276625,0.784184525,0.41046165,5.113875175,0.2670835,0.4214296,0.0121606,0.781020575,0.4820294,9.6278298,0.3852915,0.5844164,0.013303033,1.5066027,0.5897545,14.27384963,0.43831565,0.6320865,0.01311095,1.981788925,0.65291835
2015,SAHARANPUR,6298.97,4.189734,0.26636715,0.3727937,0.008841733,0.856371967,0.4527778,11.43142988,0.46913855,0.52021575,0.009609575,1.631432775,0.6684103,3.16419255,0.2520111,0.417324775,0.01159205,0.641302325,0.4762366,10.31779745,0.40989625,0.5665346,0.0223521,1.28501755,0.62807445,5.272634575,0.36653655,0.452392,0.01741695,0.766056775,0.60682965,10.0157609,0.4114706,0.467344875,0.010337975,1.3898575,0.61765285,0.61446115,0.32028435,0.41113575,0.000548175,1.0601152,0.50973345,10.8384558,0.3651479,0.50759305,0.023258525,1.2168079,0.60148975,0.2048874,0.2512743,0.334792175,0.0001899,0.784572325,0.40830435,5.093617525,0.27208195,0.428260325,0.01235275,0.81932555,0.49336425,7.272380833,0.3345922,0.532029067,0.010831033,1.281315933,0.5541077,6.93463835,0.4268772,0.61489945,0.005834575,1.802631125,0.65710575
2016,SAHARANPUR,6585.32,1.00527515,0.2338225,0.31528895,0.001682625,0.68906045,0.38783245,25.0625079,0.50827825,0.552965325,0.03535145,1.80977195,0.67807615,3.13251995,0.2423011,0.398608325,0.01187185,0.60475095,0.47928445,10.16753173,0.39916875,0.5612131,0.019035225,1.343499733,0.61576015,6.1313351,0.30453765,0.462832075,0.017103075,0.83007985,0.53770715,15.3369334,0.4542799,0.49963705,0.019936975,1.554031425,0.64952705,2.09387315,0.3659365,0.422188925,0.001834275,1.140528225,0.53446405,7.420060875,0.33599955,0.475319275,0.01196875,1.1189019,0.55968615,0.232255233,0.2511379,0.3435296,0.000200233,0.811146867,0.41680075,3.879688267,0.2453239,0.390745833,0.010974933,0.670485033,0.4513504,6.6802493,0.287787,0.50003995,0.01068285,1.149873625,0.5141847,17.94954758,0.40931415,0.607608,0.02119705,1.9002628,0.6598761
